ID;ONTO_ID;ONTO_TERM;
C1;UBERON_0002244;premaxilla;
C2;UBERON_0002244;premaxilla;
C3;UBERON_0002244;premaxilla;
C4;UBERON_0002244;premaxilla;
C5;UBERON_0002244;premaxilla;
C6;UBERON_0002397;maxilla;
C7;UBERON_0002397;maxilla;
C8;UBERON_0002397;maxilla;
C9;UBERON_0002397;maxilla;
C10;UBERON_0002397;maxilla;
C11;UBERON_0004742;dentary;
C12;UBERON_0004742;dentary;
C13;UBERON_0004742;dentary;
C14;UBERON_0004742;dentary;
C15;UBERON_0004742;dentary;
C16;UBERON_2000658;epibranchial bone;
C17;UBERON_2000658;epibranchial bone;
C18;UBERON_2000658;epibranchial bone;
C19;UBERON_2000658;epibranchial bone;
C20;UBERON_2000658;epibranchial bone;
C21;UBERON_2000488;ceratobranchial bone;
C22;UBERON_2000488;ceratobranchial bone;
C23;UBERON_2000488;ceratobranchial bone;
C24;UBERON_2000488;ceratobranchial bone;
C25;UBERON_2000488;ceratobranchial bone;
C26;UBERON_0000151;pectoral fin;
C27;UBERON_0000151;pectoral fin;
C28;UBERON_0000151;pectoral fin;
C29;UBERON_0000151;pectoral fin;
C30;UBERON_0000151;pectoral fin;
C31;UBERON_0000152;pelvic fin;
C32;UBERON_0000152;pelvic fin;
C33;UBERON_0000152;pelvic fin;
C34;UBERON_0000152;pelvic fin;
C35;UBERON_0000152;pelvic fin;
C36;UBERON_0003097;dorsal fin;
C37;UBERON_0003097;dorsal fin;
C38;UBERON_0003097;dorsal fin;
C39;UBERON_0003097;dorsal fin;
C40;UBERON_0003097;dorsal fin;
